code,fill
1-3-1,123
1-3-2,456
1-3-3,789
1-4-1,GREENFIELD FAMILY TRUST
1-6-1,12
1-6-2,345
1-6-3,678
1-6-4,901
1-9-1,45 MARKET STREET
1-11-1,SYDNEY
1-11-2,NSW
1-11-3,2000
2-4-1,DOE & CO TRUSTEES PTY LTD
2-6-1,98
2-6-2,765
2-6-3,432
2-6-4,109
2-6-5,(02) 9876 5432
2-10-1,D
2-15-1,62000
2-15-2,123
2-15-3,456
2-15-4,789
2-16-1,GREENFIELD FAMILY TRUST
3-1-1,123
3-1-2,456
3-1-3,789
4-6-1,3606
4-8-1,22870
4-10-1,26476
4-12-1,706935
5-1-1,123
5-1-2,456
5-1-3,789
5-8-1,26476
5-17-1,26476
6-3-1,463
6-3-5,463
6-4-1,1564
6-6-1,26939
6-8-1,26939
7-1-1,123
7-1-2,456
7-1-3,789
9-1-1,123
9-1-2,456
9-1-3,789
11-7-1,26939
12-2-1,X
12-3-1,DOE
12-4-1,JOHN
12-11-1,1
12-11-2,4
12-11-3,1945
12-12-1,30
12-13-1,8 889
12-25-1,1 190
12-28-1,152
12-30-1,5 16
12-33-1,7 547
12-35-1,2 332 89
14-2-2,X
14-3-1,DOE
14-4-1,JANE
14-11-1,25
14-11-2,12
14-11-3,1950
14-13-1,17 779
14-25-1,2 380
14-28-1,305
14-30-1,10 32
14-33-1,15 094
14-35-1,4 665 77
19-1-1,7
19-1-2,10
19-1-3,2024
19-2-1,1
